user_id,diet_type,allergy,preferred_meal
1,Non-Veg,Dairy,Dinner
2,Non-Veg,Gluten,Lunch
3,Veg,None,Lunch
4,Non-Veg,Dairy,Lunch
5,Non-Veg,Dairy,Lunch
6,Veg,None,Dinner
7,Non-Veg,Nuts,Breakfast
8,Non-Veg,Nuts,Dinner
9,Veg,Dairy,Dinner
10,Veg,Gluten,Dinner
11,Non-Veg,None,Dinner
12,Veg,Dairy,Dinner
13,Veg,None,Breakfast
14,Non-Veg,Dairy,Lunch
15,Non-Veg,Gluten,Dinner
16,Non-Veg,Gluten,Breakfast
17,Veg,Gluten,Lunch
18,Veg,Nuts,Lunch
19,Non-Veg,Gluten,Lunch
20,Non-Veg,Nuts,Breakfast
21,Veg,None,Breakfast
22,Veg,Dairy,Breakfast
23,Veg,None,Lunch
24,Veg,Gluten,Breakfast
25,Veg,Dairy,Dinner
26,Veg,Nuts,Breakfast
27,Veg,Dairy,Dinner
28,Non-Veg,Gluten,Breakfast
29,Veg,Dairy,Lunch
30,Veg,Nuts,Breakfast
31,Non-Veg,None,Dinner
32,Veg,Gluten,Dinner
33,Veg,None,Breakfast
34,Non-Veg,Dairy,Lunch
35,Non-Veg,Dairy,Breakfast
36,Veg,None,Lunch
37,Non-Veg,Nuts,Breakfast
38,Veg,Nuts,Lunch
39,Veg,Dairy,Breakfast
40,Veg,Nuts,Lunch
41,Non-Veg,Nuts,Dinner
42,Veg,None,Dinner
43,Non-Veg,Nuts,Breakfast
44,Veg,Gluten,Lunch
45,Veg,None,Lunch
46,Veg,None,Dinner
47,Non-Veg,Nuts,Lunch
48,Veg,Nuts,Lunch
49,Non-Veg,Dairy,Breakfast
50,Veg,None,Dinner
51,Veg,Nuts,Dinner
52,Veg,Nuts,Lunch
53,Veg,Gluten,Breakfast
54,Non-Veg,None,Breakfast
55,Veg,Gluten,Dinner
56,Non-Veg,None,Breakfast
57,Non-Veg,None,Dinner
58,Non-Veg,Gluten,Breakfast
59,Veg,Nuts,Dinner
60,Non-Veg,Nuts,Dinner
61,Non-Veg,Nuts,Breakfast
62,Veg,Nuts,Breakfast
63,Veg,Gluten,Breakfast
64,Non-Veg,Gluten,Dinner
65,Veg,None,Breakfast
66,Veg,Nuts,Lunch
67,Veg,None,Breakfast
68,Veg,None,Lunch
69,Veg,Nuts,Breakfast
70,Veg,Nuts,Breakfast
71,Veg,Gluten,Lunch
72,Veg,Nuts,Dinner
73,Non-Veg,Nuts,Lunch
74,Veg,None,Dinner
75,Non-Veg,None,Breakfast
76,Veg,Dairy,Dinner
77,Veg,Gluten,Dinner
78,Veg,None,Lunch
79,Veg,Gluten,Lunch
80,Veg,Gluten,Lunch
81,Veg,None,Dinner
82,Non-Veg,Dairy,Breakfast
83,Non-Veg,Dairy,Breakfast
84,Non-Veg,Gluten,Lunch
85,Non-Veg,Nuts,Lunch
86,Veg,Dairy,Lunch
87,Veg,None,Breakfast
88,Veg,Nuts,Lunch
89,Veg,Nuts,Breakfast
90,Non-Veg,None,Dinner
91,Non-Veg,Gluten,Lunch
92,Non-Veg,None,Breakfast
93,Veg,Nuts,Breakfast
94,Veg,None,Dinner
95,Non-Veg,Nuts,Lunch
96,Veg,Nuts,Lunch
97,Veg,Dairy,Breakfast
98,Non-Veg,None,Dinner
99,Non-Veg,Dairy,Lunch
100,Veg,Nuts,Dinner
