food_name,calories_kcal,carbohydrates_g,protein_g,fat_g,fiber_g
Oats Porridge,258,33.75,4.7,11.58,3.65
Fruit Salad,104,6.05,7.03,5.74,11.73
Egg Omelette,210,39.55,8.38,2.03,10.94
Grilled Chicken,366,13.05,34.22,19.66,4.67
Paneer Curry,431,22.62,30.59,24.24,2.05
Vegetable Khichdi,118,0.0,12.4,9.31,5.97
Idli,185,26.85,15.89,1.56,8.01
Dosa,158,20.1,2.93,7.32,7.65
Curd Rice,347,37.77,20.7,12.57,11.74
Vegetable Biryani,449,55.93,25.38,13.75,13.13
Rice and Dal,415,63.18,8.35,14.32,6.4
Rice and Dal,269,5.36,22.63,17.45,14.13
Rice and Dal,210,0.0,3.96,23.67,11.02
Fruit Salad,265,31.98,11.57,10.09,8.12
Oats Porridge,81,0.0,14.26,10.51,14.92
Egg Omelette,159,0.0,20.85,19.4,12.74
Grilled Chicken,295,27.13,7.6,17.34,7.62
Rice and Dal,130,5.33,24.51,1.18,8.1
Fruit Salad,129,0.0,30.61,9.58,6.26
Idli,220,7.31,3.14,19.8,3.01
Fish Curry,226,4.97,29.23,9.91,14.81
Idli,186,0.0,4.56,24.19,2.63
Grilled Chicken,185,5.55,18.45,9.89,2.92
Curd Rice,220,6.27,14.76,15.1,11.6
Curd Rice,308,51.1,13.14,5.67,15.0
Dosa,352,73.44,5.74,3.92,8.7
Oats Porridge,368,63.2,24.8,1.78,4.62
Rice and Dal,87,0.0,26.6,5.02,9.77
Curd Rice,316,55.37,13.57,4.47,12.51
Egg Omelette,272,15.72,5.32,20.87,13.05
Grilled Chicken,331,23.97,13.58,20.09,6.89
Vegetable Khichdi,181,28.95,4.89,5.07,8.09
Idli,190,7.36,7.4,14.55,11.34
Egg Omelette,119,0.0,13.29,22.57,1.74
Fruit Salad,127,0.0,12.55,24.67,6.38
Vegetable Soup,217,31.48,9.13,6.06,6.27
Egg Omelette,186,20.34,7.06,8.49,13.34
Vegetable Biryani,89,0.0,11.26,6.65,2.59
Vegetable Biryani,289,32.0,6.7,14.91,8.81
Egg Omelette,151,0.0,25.55,22.18,14.87
Fruit Salad,189,0.0,26.37,19.42,4.82
Rice and Dal,387,74.5,9.34,5.74,12.77
Vegetable Biryani,183,0.0,11.84,24.36,3.45
Curd Rice,178,0.0,29.84,18.82,2.97
Oats Porridge,410,30.06,24.96,21.1,14.03
Chapati with Curry,405,64.59,10.36,11.69,1.62
Vegetable Biryani,318,58.0,19.05,1.09,12.7
Egg Omelette,286,0.0,31.71,18.33,13.88
Vegetable Biryani,229,2.77,21.92,14.47,5.07
Egg Omelette,436,90.22,15.36,1.52,12.57
Dosa,131,1.34,26.78,2.06,11.03
Vegetable Upma,101,0.0,21.96,5.44,7.3
Vegetable Soup,409,31.23,25.34,20.3,14.57
Vegetable Soup,194,0.0,18.7,23.69,3.7
Grilled Chicken,310,28.3,20.29,12.85,8.07
Curd Rice,403,84.28,13.45,1.34,13.99
Dosa,222,18.55,13.62,10.37,6.42
Chapati with Curry,389,36.63,7.59,23.57,3.39
Curd Rice,82,0.0,27.24,11.52,3.1
Chapati with Curry,410,64.38,32.85,2.34,6.59
Vegetable Khichdi,297,16.68,13.29,19.68,8.16
Chapati with Curry,244,36.32,8.05,7.39,3.62
Fruit Salad,331,56.98,13.6,5.41,8.89
Chapati with Curry,112,0.0,32.14,10.31,12.41
Vegetable Soup,260,28.98,28.26,3.45,13.18
Fruit Salad,313,38.64,13.2,11.74,7.78
Vegetable Upma,241,44.0,5.83,4.63,11.18
Dosa,90,0.0,8.03,9.77,14.74
Fish Curry,140,3.03,28.28,1.64,1.65
Curd Rice,408,70.61,22.05,4.15,13.91
Vegetable Upma,244,0.0,18.24,23.96,8.29
Curd Rice,283,45.92,8.22,7.38,1.03
Paneer Curry,330,57.62,7.58,7.69,1.73
Dosa,395,30.95,15.98,23.03,6.91
Fruit Salad,341,35.28,4.43,20.24,8.41
Vegetable Khichdi,248,13.59,7.93,17.99,14.05
Dosa,435,69.5,9.3,13.31,4.92
Vegetable Upma,292,0.0,32.47,21.31,10.64
Vegetable Upma,249,0.0,30.51,17.35,11.64
Dosa,444,77.33,7.44,11.66,8.36
Dosa,234,0.0,33.31,15.56,13.69
Vegetable Khichdi,368,31.51,13.15,21.04,4.88
