food_id,food_name,meal_type,diet_type,calories_kcal,carbohydrates_g,protein_g,fat_g,fiber_g,calcium_mg,magnesium_mg,iron_mg,zinc_mg,vitamin_A,vitamin_B1,vitamin_B2,vitamin_B12,vitamin_C,vitamin_D,vitamin_E,vitamin_K,vitamin_H,food_category,seasonal,season,ingredients,region,state,source
1,Oats Porridge,Breakfast,Veg,258.0,33.75,4.7,11.58,3.65,346.45,98.98,3.08,2.78,18.81,49.05,77.43,65.07,6.54,60.27,85.65,56.1,32.14,Prepared Dish,No,All,,,,foods_dataset_final
2,Fruit Salad,Breakfast,Vegan,104.0,6.05,7.03,5.74,11.73,22.83,102.79,1.69,2.45,19.88,29.22,29.3,58.2,1.16,40.61,17.89,70.27,22.28,Prepared Dish,No,All,,,,foods_dataset_final
3,Egg Omelette,Dinner,Non-Veg,210.0,39.55,8.38,2.03,10.94,267.32,30.75,7.69,0.59,56.34,68.64,76.95,53.13,51.48,83.16,41.39,35.96,41.33,Prepared Dish,No,All,,,,foods_dataset_final
4,Grilled Chicken,Lunch,Non-Veg,366.0,13.05,34.22,19.66,4.67,122.69,115.09,7.83,0.74,59.11,11.75,40.12,39.0,19.84,26.46,6.04,54.86,48.39,Prepared Dish,No,All,,,,foods_dataset_final
5,Paneer Curry,Dinner,Veg,431.0,22.62,30.59,24.24,2.05,222.98,51.44,5.93,1.73,33.9,86.54,81.73,38.43,85.26,35.42,38.83,62.23,1.18,Prepared Dish,No,All,,,,foods_dataset_final
6,Vegetable Khichdi,Dinner,Veg,118.0,0.0,12.4,9.31,5.97,142.32,67.09,0.87,1.15,62.88,46.94,37.64,43.87,50.03,71.06,57.27,1.45,44.71,Prepared Dish,No,All,,,,foods_dataset_final
7,Idli,Breakfast,Veg,185.0,26.85,15.89,1.56,8.01,264.7,48.42,3.3,4.68,10.79,43.96,57.76,19.91,47.61,84.57,34.8,78.92,23.92,Prepared Dish,No,All,,,,foods_dataset_final
8,Dosa,Breakfast,Veg,158.0,20.1,2.93,7.32,7.65,274.5,79.97,5.52,2.81,54.52,18.42,40.59,50.14,68.45,29.7,4.42,83.33,18.05,Prepared Dish,No,All,,,,foods_dataset_final
9,Curd Rice,Lunch,Veg,347.0,37.77,20.7,12.57,11.74,185.11,70.27,5.07,0.94,32.44,17.59,55.13,59.34,41.94,81.89,87.57,54.55,85.94,Prepared Dish,No,All,,,,foods_dataset_final
10,Vegetable Biryani,Lunch,Veg,449.0,55.93,25.38,13.75,13.13,320.06,17.68,7.62,0.88,20.52,60.91,30.68,86.1,72.99,49.64,60.04,70.61,67.95,Prepared Dish,No,All,,,,foods_dataset_final
11,Rice and Dal,Lunch,Veg,415.0,63.18,8.35,14.32,6.4,219.94,32.34,0.91,0.62,72.2,17.29,73.53,89.42,54.9,35.41,50.3,60.29,42.17,Prepared Dish,No,All,,,,foods_dataset_final
12,Fish Curry,Dinner,Non-Veg,226.0,4.97,29.23,9.91,14.81,176.47,81.41,3.26,4.31,2.17,23.3,60.66,31.85,24.63,57.24,24.34,39.87,64.22,Prepared Dish,No,All,,,,foods_dataset_final
13,Vegetable Soup,Dinner,Veg,217.0,31.48,9.13,6.06,6.27,264.67,95.02,6.13,2.31,73.93,29.59,81.35,86.77,53.04,77.04,44.66,89.7,69.83,Prepared Dish,No,All,,,,foods_dataset_final
14,Chapati with Curry,Lunch,Veg,405.0,64.59,10.36,11.69,1.62,22.13,92.07,2.91,2.41,3.02,28.88,27.94,69.95,65.8,9.19,3.47,63.03,31.37,Prepared Dish,No,All,,,,foods_dataset_final
15,Vegetable Upma,Breakfast,Veg,101.0,0.0,21.96,5.44,7.3,298.45,21.08,4.39,0.98,55.8,83.79,65.55,26.43,55.69,21.45,85.37,27.81,13.61,Prepared Dish,No,All,,,,foods_dataset_final
16,Balu shahi,Snack,Veg,269.14,31.37,15.29,12.81,1.59,71.74,203.7,4.21,10.67,42.68,71.11,97.35,88.49,28.07,17.47,52.22,67.7,18.04,Indian Dish,No,All,"Maida flour, yogurt, oil, sugar",East,West Bengal,indian_food
17,Boondi,Snack,Veg,226.9,16.4,13.26,8.34,8.47,41.65,198.52,9.68,10.81,30.01,73.69,96.16,85.3,95.65,73.25,33.5,84.08,21.87,Indian Dish,No,All,"Gram flour, ghee, sugar",West,Rajasthan,indian_food
18,Gajar ka halwa,Snack,Veg,273.29,10.1,9.61,18.17,8.82,40.09,22.8,8.48,13.22,98.72,23.98,58.94,60.11,69.94,28.24,73.46,52.4,35.14,Indian Dish,No,All,"Carrots, milk, sugar, ghee, cashews, raisins",North,Punjab,indian_food
19,Ghevar,Snack,Veg,125.67,0.0,18.22,13.0,6.49,229.7,234.41,6.74,12.53,94.45,79.52,36.14,67.77,53.36,56.85,1.61,8.11,40.96,Indian Dish,No,All,"Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom",West,Rajasthan,indian_food
20,Gulab jamun,Snack,Veg,350.0,55.0,5.0,15.0,2.0,145.97,225.68,16.53,11.74,8.99,21.93,60.2,16.94,20.87,37.41,98.26,88.55,12.89,Indian Dish,No,All,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water",East,West Bengal,indian_food
21,Imarti,Snack,Veg,157.59,14.6,13.37,5.51,7.58,270.4,156.68,6.47,9.04,53.97,5.34,51.05,50.09,15.44,65.95,31.45,6.45,79.42,Indian Dish,No,All,"Sugar syrup, lentil flour",East,West Bengal,indian_food
22,Jalebi,Snack,Veg,320.0,60.0,4.0,12.0,1.0,271.41,131.74,1.47,8.69,88.66,75.7,15.0,63.18,32.59,10.19,12.89,49.16,62.93,Indian Dish,No,All,"Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom",North,Uttar Pradesh,indian_food
23,Kaju katli,Snack,Veg,326.61,40.67,8.46,16.11,6.38,164.95,142.76,3.53,11.21,51.2,68.83,82.71,39.16,97.81,23.66,95.89,61.7,94.78,Indian Dish,No,All,"Cashews, ghee, cardamom, sugar",-1,-1,indian_food
24,Kalakand,Snack,Veg,131.05,0.0,12.35,17.92,1.97,173.75,104.86,3.81,5.4,18.31,26.52,71.48,25.2,48.28,14.03,33.73,95.06,92.34,Indian Dish,No,All,"Milk, cottage cheese, sugar",East,West Bengal,indian_food
25,Kheer,Snack,Veg,220.0,30.0,6.0,12.0,1.0,234.64,213.28,8.26,5.62,80.29,98.07,34.55,72.09,18.03,95.41,42.26,36.01,76.86,Indian Dish,No,All,"Milk, rice, sugar, dried fruits",-1,-1,indian_food
26,Laddu,Snack,Veg,231.53,30.36,8.25,12.93,5.57,198.39,103.95,6.75,2.66,72.34,41.11,72.71,64.97,5.54,97.2,53.62,57.81,67.83,Indian Dish,No,All,"Gram flour, ghee, sugar",-1,-1,indian_food
