food_id,food_name,meal_type,diet_type,calories_kcal,carbohydrates_g,protein_g,fat_g,fiber_g,calcium_mg,magnesium_mg,iron_mg,zinc_mg,vitamin_A,vitamin_B1,vitamin_B2,vitamin_B12,vitamin_C,vitamin_D,vitamin_E,vitamin_K,vitamin_H
1,Oats Porridge,Breakfast,Veg,258,33.75,4.7,11.58,3.65,346.45,98.98,3.08,2.78,18.81,49.05,77.43,65.07,6.54,60.27,85.65,56.1,32.14
2,Fruit Salad,Breakfast,Veg,104,6.05,7.03,5.74,11.73,22.83,102.79,1.69,2.45,19.88,29.22,29.3,58.2,1.16,40.61,17.89,70.27,22.28
3,Egg Omelette,Dinner,Non-Veg,210,39.55,8.38,2.03,10.94,267.32,30.75,7.69,0.59,56.34,68.64,76.95,53.13,51.48,83.16,41.39,35.96,41.33
4,Grilled Chicken,Lunch,Non-Veg,366,13.05,34.22,19.66,4.67,122.69,115.09,7.83,0.74,59.11,11.75,40.12,39.0,19.84,26.46,6.04,54.86,48.39
5,Paneer Curry,Dinner,Veg,431,22.62,30.59,24.24,2.05,222.98,51.44,5.93,1.73,33.9,86.54,81.73,38.43,85.26,35.42,38.83,62.23,1.18
6,Vegetable Khichdi,Dinner,Veg,118,0.0,12.4,9.31,5.97,142.32,67.09,0.87,1.15,62.88,46.94,37.64,43.87,50.03,71.06,57.27,1.45,44.71
7,Idli,Breakfast,Veg,185,26.85,15.89,1.56,8.01,264.7,48.42,3.3,4.68,10.79,43.96,57.76,19.91,47.61,84.57,34.8,78.92,23.92
8,Dosa,Breakfast,Veg,158,20.1,2.93,7.32,7.65,274.5,79.97,5.52,2.81,54.52,18.42,40.59,50.14,68.45,29.7,4.42,83.33,18.05
9,Curd Rice,Lunch,Veg,347,37.77,20.7,12.57,11.74,185.11,70.27,5.07,0.94,32.44,17.59,55.13,59.34,41.94,81.89,87.57,54.55,85.94
10,Vegetable Biryani,Lunch,Veg,449,55.93,25.38,13.75,13.13,320.06,17.68,7.62,0.88,20.52,60.91,30.68,86.1,72.99,49.64,60.04,70.61,67.95
